step,name,x,y
83,Earth,1.49579e+11,2.5014e+09
83,Mars,2.27891e+11,2.02244e+09
84,Sun,68.0951,0.371702
84,Earth,1.49578e+11,2.53118e+09
84,Mars,2.27891e+11,2.04652e+09
85,Sun,69.6973,0.384977
85,Earth,1.49578e+11,2.56095e+09
85,Mars,2.2789e+11,2.07059e+09
86,Sun,71.3181,0.398564
86,Earth,1.49577e+11,2.59073e+09
86,Mars,2.2789e+11,2.09467e+09
87,Sun,72.9576,0.412467
87,Earth,1.49577e+11,2.62051e+09
87,Mars,2.2789e+11,2.11875e+09
88,Sun,74.6157,0.42669
88,Earth,1.49576e+11,2.65028e+09
88,Mars,2.2789e+11,2.14282e+09
89,Sun,76.2924,0.441236
89,Earth,1.49576e+11,2.68006e+09
89,Mars,2.2789e+11,2.1669e+09
90,Sun,77.9877,0.456109
90,Earth,1.49575e+11,2.70983e+09
90,Mars,2.27889e+11,2.19097e+09
91,Sun,79.7017,0.471313
91,Earth,1.49575e+11,2.73961e+09
91,Mars,2.27889e+11,2.21505e+09
92,Sun,81.4343,0.486851
92,Earth,1.49574e+11,2.76938e+09
92,Mars,2.27889e+11,2.23912e+09
93,Sun,83.1855,0.502726
93,Earth,1.49574e+11,2.79916e+09
93,Mars,2.27889e+11,2.2632e+09
94,Sun,84.9554,0.518943
94,Earth,1.49573e+11,2.82893e+09
94,Mars,2.27888e+11,2.28728e+09
95,Sun,86.7439,0.535505
95,Earth,1.49572e+11,2.85871e+09
95,Mars,2.27888e+11,2.31135e+09
96,Sun,88.551,0.552415
96,Earth,1.49572e+11,2.88848e+09
96,Mars,2.27888e+11,2.33543e+09
97,Sun,90.3767,0.569678
97,Earth,1.49571e+11,2.91825e+09
97,Mars,2.27888e+11,2.3595e+09
98,Sun,92.2211,0.587296
98,Earth,1.49571e+11,2.94803e+09
98,Mars,2.27887e+11,2.38358e+09
99,Sun,94.0841,0.605275
99,Earth,1.4957e+11,2.9778e+09
99,Mars,2.27887e+11,2.40766e+09
100,Sun,95.9657,0.623616
100,Earth,1.49569e+11,3.00758e+09
100,Mars,2.27887e+11,2.43173e+09
101,Sun,97.866,0.642324
101,Earth,1.49569e+11,3.03735e+09
101,Mars,2.27887e+11,2.45581e+09
102,Sun,99.7848,0.661403
102,Earth,1.49568e+11,3.06712e+09
102,Mars,2.27886e+11,2.47988e+09
103,Sun,101.722,0.680856
